Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
ABBREVIATIONS AND INDUSTRY TERMS
Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
High-Level Radioactive Waste Disposal — The federal government has responsibility to permanently dispose domestic spent nuclear fuel and other high-level radioactive wastes. The Nuclear Waste Policy Act requires the DOE to implement a program for nuclear high-level waste management. This includes the siting, licensing, construction and operation of a repository for spent nuclear fuel from civilian nuclear power reactors and other high-level radioactive wastes at a permanent federal storage or disposal facility. The federal government has been evaluating a nuclear geologic repository at Yucca Mountain, Nevada for many years. Currently, there are no definitive plans for a permanent federal storage facility at Yucca Mountain or any other site.


Review of PI Costs — As part of NSP-Minnesota’s 2016 multi-year electric rate case and IRP, the MPUC ordered an investigation into NSP-Minnesota’s PI nuclear investments. The issue was resolved as part of the 2016 multi-year electric rate case settlement. In November 2018, the DOC issued a final report, in which no cost disallowances were recommended.
Nuclear Spent Fuel Storage — NSP-Minnesota has interim on-site storage for spent nuclear fuel at its Monticello and PI nuclear generating plants. Authorized storage capacity is sufficient to allow NSP-Minnesota to operate until the end of the operating licenses in 2030 for Monticello, 2033 for PI Unit 1, and 2034 for PI Unit 2. Authorizations for additional spent fuel storage capacity may be required at each site to support either continued operation or decommissioning if the federal government does not commence storage operations.
In 2013, NSP-Minnesota’s Monticello nuclear generating plant loaded and placed five storage canisters (canisters #11-15) in the ISFSI and a sixth canister (canister #16) was loaded but remained in the plant pending resolution of weld inspection issues. Successful pressure and leak testing demonstrated the safety and integrity of all six canisters involved. NSP-Minnesota took several actions to assure compliance with the NRC’s regulations and Monticello’s storage license. The NRC has approved NSP-Minnesota’s compliance plan for all canisters. 
NSP-Minnesota intends to seek recovery of these costs in a future regulatory proceeding. No public safety issues have been raised, or are believed to exist, in this matter.
See Note 12 to the consolidated financial statements for further information.
Wholesale and Commodity Marketing Operations
NSP-Minnesota conducts various wholesale marketing operations, including the purchase and sale of electric capacity, energy, ancillary services and energy-related products. NSP-Minnesota uses physical and financial instruments to minimize commodity price and credit risk and hedge sales and purchases. NSP-Minnesota also engages in trading activity unrelated to hedging and sharing of any margins is determined through state regulatory proceedings as well as the operation of the FERC approved JOA. NSP-Minnesota does not serve any wholesale requirements customers at cost-based regulated rates.
NSP-Wisconsin
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — Retail rates, services and other aspects of NSP-Wisconsin’s operations are regulated by the PSCW and the MPSC. In addition, each of the state commissions certifies the need for new generating plants and electric transmission lines before the facilities may be sited and built. NSP-Wisconsin is subject to the jurisdiction of the FERC for its wholesale electric operations, hydroelectric generation licensing, accounting practices, wholesale sales for resale, transmission of electricity in interstate commerce, compliance with NERC electric reliability standards, asset transactions and mergers and natural gas transactions in interstate commerce. NSP-Wisconsin is a transmission owning member of the MISO RTO that operates within the MISO RTO and wholesale energy market. NSP-Wisconsin and NSP-Minnesota are jointly authorized by the FERC to make wholesale electric sales at market-based prices. 
The PSCW has a biennial base rate filing requirement. By June of each odd numbered year, NSP-Wisconsin must submit a rate filing for the test year beginning the following January.


12

Fuel and Purchased Energy Cost Recovery Mechanisms — NSP-Wisconsin does not have an automatic electric fuel adjustment clause. Instead, under Wisconsin rules, utilities submit a forward-looking annual fuel cost plan to the PSCW. Once the PSCW approves the fuel cost plan, utilities defer the amount of any fuel cost under-recovery or over-recovery in excess of a 2% annual tolerance band, for future rate recovery or refund. Approval of a fuel cost plan and any rate adjustment for refund or recovery of deferred costs is determined by the PSCW. Rate recovery of deferred fuel cost is subject to an earnings test based on the utility’s most recently authorized ROE. Fuel cost under-collections that exceed the 2% annual tolerance band may not be recovered if the utility earnings for that year exceed the authorized ROE.
NSP-Wisconsin’s electric fuel costs for 2018 were lower than authorized in rates and outside the 2% annual tolerance band, primarily due to greater than forecasted generation sales into the MISO market and lower purchased power costs coupled with moderate weather. Under the fuel cost recovery rules, NSP-Wisconsin retained approximately $3.6 million of fuel costs and deferred approximately $2.8 million. NSP-Wisconsin will file a reconciliation of 2018 fuel costs with the PSCW by March 31, 2019. 
NSP-Wisconsin’s retail electric rate schedules for Michigan customers include power supply cost recovery factors, which are based on 12-month projections. After each 12-month period, a reconciliation is submitted whereby over-recoveries are refunded and any under-recoveries are collected from customers.
Wisconsin Energy Efficiency Program — The primary energy efficiency program is funded by the state’s utilities, but operated by independent contractors subject to oversight by the PSCW and utilities. NSP-Wisconsin recovers these costs from retail customers.
Transmission Initiatives
NSP-Wisconsin operates an integrated system with NSP-Minnesota. See NSP-Minnesota-Energy Sources and Transmission Service Provider.
NSP-Wisconsin / American Transmission Company, LLC - La Crosse to Madison, WI Transmission Line — In December 2018, construction was completed on the Badger Coulee 345 KV transmission line. The line extends from La Crosse, WI. to Madison, WI. NSP-Wisconsin’s half of the line is shared with Dairyland Power Cooperative, WPPI Energy and Southern Minnesota Municipal Power Agency-Wisconsin.
Wholesale and Commodity Marketing Operations
NSP-Wisconsin does not serve any wholesale requirements customers at cost-based regulated rates. 
PSCo
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — PSCo is regulated by the CPUC with respect to its facilities, rates, accounts, services and issuance of securities. PSCo is regulated by the FERC for its wholesale electric operations, accounting practices, hydroelectric licensing, wholesale sales for resale, transmission of electricity in interstate commerce, compliance with the NERC electric reliability standards, asset transactions and mergers and natural gas transactions in interstate commerce. PSCo is not presently a member of an RTO and does not operate within an RTO energy market. However, PSCo does make certain sales to other RTO’s, including SPP. PSCo makes wholesale electric sales at cost-based prices to customers inside PSCo’s balancing authority area and at market-based prices to customers outside PSCo’s balancing authority area as authorized by the FERC.

Fuel, Purchased Energy and Conservation Cost-Recovery 
Mechanisms

• | ECA — Recovers fuel and purchased energy costs. Short-term sales margins are shared with retail customers through the ECA. The ECA is revised quarterly.


• | PCCA — Recovers purchased capacity payments.


• | SCA — Recovers the difference between PSCo’s actual cost of fuel and costs recovered under its steam service rates. The SCA rate is revised quarterly. 


• | DSMCA — Recovers DSM, interruptible service costs and performance initiatives for achieving energy savings goals.


• | RESA — Recovers the incremental costs of compliance with the RES with a maximum of 2% of the customer’s bill.


• | WCA — Recovers costs for customers who choose renewable resources.


• | TCA — Recovers costs for transmission investment outside of rate cases.


• | CACJA — Recovers costs associated with the CACJA.

PSCo recovers fuel and purchased energy costs from its wholesale electric customers through a fuel cost adjustment clause approved by the FERC. Wholesale customers pay their jurisdictional allocation of production costs through a fully forecasted formula rate with true-up.
Energy Sources and Transmission Service Providers
PSCo expects to meet its system capacity requirements through electric generating stations, power purchases, new generation facilities, DSM options and expansion of generation plants.
Purchased Power — PSCo purchases power from other utilities and IPPs. Long-term purchased power contracts for dispatchable resources typically require capacity and energy charges. It also contracts to purchase power for both wind and solar resources. PSCo makes short-term purchases to meet system load and energy requirements, replace owned generation, meet operating reserve obligations, or obtain energy at a lower cost.
Purchased Transmission Services — In addition to using its own transmission system, PSCo has contracts with regional transmission service providers to deliver energy to its customers.
Wind Development — In 2018, PSCo completed construction and placed in service its Rush Creek 600 MW wind farm in Colorado.
CEP — In September 2018, the CPUC approved PSCo’s preferred CEP portfolio, which included the retirement of two coal-fired generation units, Comanche Unit 1 (in 2022) and Comanche Unit 2 (in 2025), and the following additions:

 | Total Capacity | PSCo's Ownership
Wind generation | 1,100 MW | 500 MW 
Solar generation | 700 MW | — 
Battery storage | 275 MW | — 
Natural gas generation | 380 MW | 380 MW 

PSCo’s investment is expected to be approximately $1 billion, including transmission to support the increase in renewable generation. This investment includes the 500 MW Cheyenne Ridge wind farm and 345 KV generation tie line, as well as the Shortgrass Substation. CPCNs for these projects were filed in December 2018. A CPUC decision is anticipated by May 2019. CPCNs for the natural gas generation facility are anticipated to be filed by mid-2019.


13

Boulder Municipalization — In 2011, Boulder passed a ballot measure authorizing the formation of an electric municipal utility, subject to certain conditions. Subsequently, there have been various legal proceedings in multiple venues with jurisdiction over Boulder’s plan. In 2014, the Boulder City Council passed an ordinance to establish an electric utility. PSCo challenged the formation of this utility and the Colorado Court of Appeals ruled in PSCo’s favor, vacating a lower court decision. In June 2018, the Colorado Supreme court rejected Boulder’s request to dismiss the case and remanded it to the Boulder District Court.
Boulder has filed multiple separation applications with the CPUC, which have been challenged by PSCo and other intervenors. In September 2017, the CPUC issued a written decision, agreeing with several key aspects of PSCo’s position. The CPUC has approved the designation of some electrical distribution assets for transfer, subject to Boulder completing certain filings. Those filings were submitted in the fourth quarter of 2018. Subsequently, various parties requested the CPUC commence additional processes; the form of such processes is currently under consideration. In the fourth quarter of 2018, Boulder’s City Council also adopted an Ordinance authorizing Boulder to begin negotiations for the acquisition of certain property or to otherwise condemn that property after Feb. 1, 2019. In the first quarter of 2019, Boulder sent PSCo a Notice of Intent to acquire certain electric distribution assets. 
Boulder does not have authorization from the CPUC to initiate a condemnation proceeding at this time.
Wholesale and Commodity Marketing Operations
PSCo conducts various wholesale marketing operations, including the purchase and sale of electric capacity, energy, ancillary services and energy related products. PSCo uses physical and financial instruments to minimize commodity price and credit risk and hedge sales and purchases. PSCo also engages in trading activity unrelated to hedging and sharing of any margins is determined through state regulatory proceedings as well as the operation of the FERC approved JOA.
SPS
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — The PUCT and NMPRC regulate SPS’ retail electric operations and have jurisdiction over its retail rates and services and the construction of transmission or generation in their respective states. The municipalities in which SPS operates in Texas have original jurisdiction over SPS’ rates in those communities. The municipalities’ rate setting decisions are subject to PUCT review.
SPS is regulated by the FERC for its wholesale electric operations, accounting practices, wholesale sales for resale, the transmission of electricity in interstate commerce, compliance with NERC electric reliability standards, asset transactions and mergers, and natural gas transactions in interstate commerce. SPS is a transmission-owning member of the SPP RTO and operates within the SPP RTO and SPP IM wholesale market. SPS is authorized to make wholesale electric sales at market-based prices. 
Fuel, Purchased Energy and Conservation Cost-Recovery 
Mechanisms — 

• | DCRF — Recovers distribution costs not included in rates in Texas.


• | EECRF — Recovers costs for energy efficiency programs in Texas.


• | EE rider — Recovers costs for energy efficiency programs in New Mexico.


• | FPPCAC — Adjusts monthly to recover the actual fuel and purchased power costs in New Mexico.


• | PCRF — Allows recovery of purchased power costs not included in rates in Texas.


• | RPS — Recovers deferred costs for renewable energy programs in New Mexico.


• | TCRF — Recovers certain transmission infrastructure improvement costs and changes in wholesale transmission charges not included in base rates in Texas.

The fixed fuel and purchased energy recovery factor provides for the over- or under-recovery of energy expenses. Regulations require refunding or surcharging over- or under- recovery amounts, including interest, when they exceed 4% of the utility’s annual fuel and purchased energy costs on a rolling 12-month basis, if this condition is expected to continue.
SPS recovers fuel and purchased energy costs from its wholesale customers through a monthly wholesale fuel and purchased energy cost adjustment clause accepted by the FERC. Wholesale customers also pay the jurisdictional allocation of production costs.
Energy Sources and Transmission Service Providers
SPS expects to use electric generating stations, power purchases, DSM and new generation options to meet its system capacity requirements. In addition, it has evaluated water supply issues at the Tolk facility, concluding additional resource investment will be required to operate the plant through its existing life. The Ogallala aquifer has depleted more rapidly than expected. SPS installed a horizontal water well that may help delay the need for a more substantial investment solution. As a result of this issue and future environmental rules facing the plant, it sought a decrease to the remaining life of the facility in the 2017 Texas and New Mexico rate case proceedings.
Purchased Power — SPS purchases power from other utilities and IPPs. Long-term purchased power contracts typically require periodic capacity and energy charges. SPS also makes short-term purchases to meet system load and energy requirements to replace owned generation, meet operating reserve obligations or obtain energy at a lower cost.
Purchased Transmission Services — SPS has contractual arrangements with SPP and regional transmission service providers to deliver power and energy to its native load customers.
Wind Development — In 2018, the NMPRC and PUCT approved SPS’ proposal to add 1,230 MW of new wind generation, including 1,000 MW ownership.
In March 2018, the NMPRC approved SPS’ petition to build and own Sagamore, a 522 MW wind project in New Mexico which is expected to be placed into service in 2020. In May 2018, the PUCT approved SPS’ petition to build and own Hale County, a 478 MW wind project in Texas which is expected to be placed into service in 2019. Both projects qualify for 100% of PTCs. SPS’ capital investment for these wind projects is expected to be approximately $1.6 billion.
Texas State ROFR Request for Declaratory Order — In 2017, SPS and SPP filed a joint petition with the PUCT for a declaratory order regarding SPS’ ROFR. SPS contended that Texas law grants an incumbent electric utility the ROFR to construct new transmission facilities located in the utility’s service area. The PUCT subsequently issued an order finding that SPS does not possess an exclusive right to construct and operate transmission facilities. In January 2018, SPS and two other parties filed appeals in the Texas State District Court. In September 2018, the District Court affirmed the PUCT’s ROFR order. SPS has filed an additional appeal.


14

NATURAL GAS UTILITY OPERATIONS
Natural Gas Operating Statistics

 | Year Ended Dec. 31
 | 2018 | | 2017 | | 2016
Natural gas deliveries (Thousands of MMBtu) | | | | | 
Residential | 149,036 | | | 134,189 | | | 132,853 
C&I | 96,447 | | | 87,271 | | | 84,082 
Total retail | 245,483 | | | 221,460 | | | 216,935 
Transportation and other | 173,092 | | | 142,497 | | | 133,498 
Total deliveries | 418,575 | | | 363,957 | | | 350,433 
Number of customers at end of period | | | | | 
Residential | 1,878,576 | | | 1,856,221 | | | 1,835,507
C&I | 158,424 | | | 157,798 | | | 157,286 
Total retail | 2,037,000 | | | 2,014,019 | | | 1,992,793
Transportation and other | 7,951 | | | 7,705 | | | 7,316 
Total customers | 2,044,951 | | | 2,021,724 | | | 2,000,109
Natural gas revenues (Millions of Dollars) | | | | | 
Residential | $ | 1,045 | | | $ | 1,006 | | $ | 930 
C&I | 556 | | | 524 | | | 469 
Total retail | 1,601 | | | 1,530 | | | 1,399 
Transportation and other | 138 | | | 120 | | | 132 
Total natural gas revenues | $ | 1,739 | | | $ | 1,650 | | $ | 1,531
MMBtu sales per retail customer | 120.51 | | | 109.96 | | | 108.86 
Revenue per retail customer | $ | 786 | | | $ | 760 | | $ | 702 
Residential revenue per MMBtu | 7.01 | | | 7.50 | | | 7.00 
C&I revenue per MMBtu | 5.76 | | | 6.00 | | | 5.58 
Transportation and other revenue per MMBtu | 0.80 | | | 0.84 | | | 0.99 

Capability and Demand
Natural gas supply requirements are categorized as firm or interruptible (customers with an alternate energy supply). 
Maximum daily send-out (firm and interruptible) and occurrence date:

 | 2018 | 2017
Utility Subsidiary | MMBtu | Date | | MMBtu | | Date
NSP-Minnesota | 786,751 | (a) | Jan. 12 | | 893,062 | | Dec. 26
NSP-Wisconsin | 159,700 | | Jan. 5 | | 160,170 | | Dec. 26
PSCo | 1,903,878 | (a) | Feb. 20 | | 1,948,167 | | Jan. 5 


(a) | Decrease in MMBtu output due to milder winter temperatures in 2018.

Natural gas is purchased from independent suppliers, generally based on market indices that reflect current prices, and is delivered under transportation agreements with interstate pipelines. 
Contracted firm deliverable pipeline capacity as of Dec. 31:
Utility Subsidiary | MMBtu Per Day
NSP-Minnesota | 645,171 | 
NSP-Wisconsin | 140,195 | 
PSCo | 1,834,843 | (a)


(a) | Includes 871,418 MMBtu of natural gas under third-party underground storage agreements.


The utility subsidiaries contract with providers of underground natural gas storage services. Agreements provided storage of winter natural gas and peak day firm requirements for 2018 as follows:

Utility Subsidiary | Percent of Winter Requirements | Peak Day Firm Requirements
NSP-Minnesota | 24% | 29% 
NSP-Wisconsin | 30 | 33 

PSCo also operates three company-owned underground storage facilities, which provide approximately 43,500 MMBtu of natural gas on peak days. The balance required to meet firm peak day sales obligations is primarily purchased at PSCo’s city gate meter stations.


15

Natural Gas Supply and Costs
Xcel Energy actively seeks natural gas supply, transportation and storage alternatives to yield a diversified portfolio which provides increased flexibility, decreased interruption and financial risk and economical rates. In addition, the utility subsidiaries conduct natural gas price hedging activities approved by their respective state commissions. 
Average delivered cost per MMBtu of natural gas for regulated retail distribution:

 | NSP-Minnesota | | NSP-Wisconsin | | PSCo
2018 | $ | 4.03 | | | $ | 3.84 | | $ | 3.20
2017 | 3.89 | | | 3.88 | | | 3.45

NSP-Minnesota, NSP-Wisconsin and PSCo have natural gas supply transportation and storage agreements that include obligations for purchase and/or delivery of specified volumes or to make payments in lieu of delivery. As of Dec. 31, 2018, the utility subsidiaries had the following contractual obligations:

• | NSP-Minnesota — $437 million (expire 2019 - 2033);


• | NSP-Wisconsin — $89 million (expire 2019 - 2029); and,


• | PSCo — $1.1 billion (expire 2019 - 2029).

NSP-Minnesota
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — Retail rates, services and other aspects of NSP-Minnesota’s retail natural gas operations are regulated by the MPUC and NDPSC. The MPUC has regulatory authority over security issuances, certain property transfers, mergers with other utilities and transactions between NSP-Minnesota and its affiliates. The MPUC reviews and approves NSP-Minnesota’s natural gas supply plans for meeting future energy needs. NSP-Minnesota is subject to the jurisdiction of the FERC with respect to certain natural gas transactions in interstate commerce. NSP-Minnesota is also subject to the DOT, Minnesota Office of Pipeline Safety, NDPSC and SDPUC for pipeline safety compliance.
Purchased Gas and Conservation Cost-Recovery Mechanisms — NSP-Minnesota’s retail natural gas rates for Minnesota and North Dakota include a PGA clause that provides for prospective monthly rate adjustments to reflect the forecasted cost of purchased natural gas, transportation and storage service. The annual difference between the natural gas cost revenues collected through PGA rates and the actual natural gas costs is collected or refunded over the subsequent 12-month period. 
NSP-Minnesota also recovers costs associated with transmission and distribution pipeline integrity management programs through its GUIC rider. Costs recoverable under the GUIC rider include funding for pipeline assessments as well as deferred costs from NSP-Minnesota’s existing sewer separation and pipeline integrity management programs.
NSP-Wisconsin
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — NSP-Wisconsin is regulated by the PSCW and MPSC. The PSCW has a biennial base-rate filing requirement. By June of each odd-numbered year, NSP-Wisconsin must submit a rate filing for the test year period beginning the following January.


NSP-Wisconsin is subject to the jurisdiction of the FERC with respect to natural gas transactions in interstate commerce. NSP-Wisconsin is subject to the DOT, PSCW and MPSC for pipeline safety compliance.
Natural Gas Cost-Recovery Mechanisms — NSP-Wisconsin has a retail PGA cost-recovery mechanism for Wisconsin to recover the actual cost of natural gas and transportation and storage services.
NSP-Wisconsin’s natural gas rates for Michigan customers include a natural gas cost-recovery factor, which is based on 12-month projections and trued-up to actual amounts on an annual basis.
PSCo
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — PSCo is regulated by the CPUC with respect to its facilities, rates, accounts, services and issuance of securities. PSCo holds a FERC certificate that allows it to transport natural gas in interstate commerce without PSCo becoming subject to full FERC jurisdiction. PSCo is subject to the DOT and CPUC with regards to pipeline safety compliance.
Purchased Natural Gas and Conservation Cost-Recovery Mechanisms

• | GCA — Recovers the costs of purchased natural gas and transportation to meet customer requirements and is revised quarterly to allow for changes in natural gas rates.


• | DSMCA — Recovers costs of DSM and performance initiatives to achieve various energy savings goals.


• | PSIA — Recovers costs for transmission and distribution pipeline integrity management programs.

SPS
Natural Gas Facilities Used for Electric Generation
SPS does not provide retail natural gas service, but purchases and transports natural gas for its generation facilities and operates natural gas pipeline facilities connecting the generation facilities to interstate natural gas pipelines. SPS is subject to the jurisdiction of the FERC with respect to natural gas transactions in interstate commerce and the PHMSA and PUCT for pipeline safety compliance.
GENERAL
Seasonality
Demand for electric power and natural gas is affected by seasonal differences in the weather. In general, peak sales of electricity occur in the summer months and peak sales of natural gas occur in the winter months. As a result, the overall operating results may fluctuate substantially on a seasonal basis. Additionally, Xcel Energy’s operations have historically generated less revenues and income when weather conditions are milder in the winter and cooler in the summer. 
See Item 7 for further information.
Competition
Xcel Energy is a vertically integrated utility subject to traditional cost-of-service regulation by state public utilities commissions. Xcel Energy is subject to public policies that promote competition and development of energy markets. Xcel Energy’s industrial and large commercial customers have the ability to generate their own electricity. In addition, customers may have the option of substituting other fuels or relocating their facilities to a lower cost region. 


16

Customers have the opportunity to supply their own power with distributed generation including, but not limited to, solar generation and in most jurisdictions can currently avoid paying for most of the fixed production, transmission and distribution costs incurred to serve them. Several states have policies designed to promote the development of solar and other distributed energy resources through incentive policies. With these incentives and federal tax subsidies, distributed generating resources are potential competitors to Xcel Energy’s electric service business.
The FERC has continued to promote competitive wholesale markets through open access transmission and other means. As a result, Xcel Energy Inc.’s utility subsidiaries and their wholesale customers can purchase the output from generation resources of competing wholesale suppliers and use the transmission systems of the utility subsidiaries on a comparable basis to serve their native load.
FERC Order No. 1000 seeks to establish competition for construction and operation of certain new electric transmission facilities. State utilities commissions have also created resource planning programs that promote competition for electricity generation resources used to provide service to retail customers. 
Xcel Energy Inc.’s utility subsidiaries have franchise agreements with cities subject to periodic renewal, however, a city could seek alternative means to access electric power or gas, such as municipalization. 
While each of Xcel Energy Inc.’s utility subsidiaries faces these challenges, Xcel Energy believes their rates and services are competitive with the alternatives currently available.
ENVIRONMENTAL MATTERS
Xcel Energy’s facilities are regulated by federal and state environmental agencies that have jurisdiction over air emissions, water quality, wastewater discharges, solid wastes and hazardous substances. Various company activities require registrations, permits, licenses, inspections and approvals from these agencies. Xcel Energy has received all necessary authorizations for the construction and continued operation of its generation, transmission and distribution systems. Xcel Energy’s facilities have been designed and constructed to operate in compliance with applicable environmental standards and related monitoring and reporting requirements. However, it is not possible to determine when or to what extent additional facilities or modifications of existing or planned facilities will be required as a result of changes to environmental regulations, interpretations or enforcement policies or what effect future laws or regulations may have upon Xcel Energy’s operations. Xcel Energy will likely be required to incur capital expenditures in the future to comply with requirements for remediation of MGP and other legacy sites. The scope and timing of these expenditures cannot be determined until more information is obtained regarding the need for remediation at legacy sites. 
In Minnesota, Texas and Wisconsin, Xcel Energy must comply with emission budgets that require the purchase of emission allowances from other utilities. The Denver North Front Range Nonattainment Area does not meet either the 2008 or 2015 ozone NAAQS. Colorado will continue to consider further reductions available in the non-attainment area as it develops plans to meet ozone standards. Gas plants which operate in PSCo’s non-attainment area may be required to improve or add controls, implement further work practices and/or implement enhanced emissions monitoring as part of future Colorado state plans.


There are significant present and future environmental regulations to encourage use of clean energy technologies and regulate emissions of GHGs. Xcel Energy has undertaken numerous initiatives to meet current requirements and prepare for potential future regulations, reduce GHG emissions and respond to state renewable and energy efficiency goals. If future environmental regulations do not provide credit for the investments Xcel Energy has already made or if they require additional initiatives or emission reductions, substantial costs may be incurred. The EPA, as an alternative to the CPP, has proposed a new regulation that, if adopted, would require implementation of heat rate improvement projects at our coal-fired power plants. It is not known what those costs might be until a final rule is adopted and state plans are developed to implement a final regulation. Xcel Energy believes, based on prior state commission practice, the cost of these initiatives or replacement generation would be recoverable through rates.
Xcel Energy is committed to addressing climate change and potential climate change regulation through efforts to reduce its GHG emissions in a balanced, cost-effective manner. Starting in 2011, Xcel Energy began reporting GHG emissions under the EPA’s mandatory GHG Reporting Program.
Xcel Energy estimates that in 2018, it reduced the CO2 emissions associated with the electric generating resources used to serve its customers by approximately 40% from 2005 levels. This reduction accounts for emissions from electric generating plants owned by Xcel Energy as well as purchased power. 
Xcel Energy primarily relied on strategies that resulted in:

• | Development of renewable energy facilities;


• | Retirement and replacement of existing generating plants; and,


• | Customer energy efficiency programs.

CAPITAL SPENDING AND FINANCING
See Item 7 for a discussion of expected capital expenditures and funding sources.
EMPLOYEES
As of Dec. 31, 2018, Xcel Energy had 11,043 full-time employees and 49 part-time employees, of which 5,129 were covered under CBAs.

 | Employees Covered by CBAs | Total Employees
NSP-Minnesota | 2,064 | | 3,278 
NSP-Wisconsin | 386 | | 540 
PSCo | 1,904 | | 2,426 
SPS | 775 | | 1,151 
XES | — | | 3,697 
Total | 5,129 | | 11,092

17


EXECUTIVE OFFICERS (a) | 
Name | Age (b) | Current and Recent Positions Held | Time in Position 
Ben Fowke | 60 | Chairman of the Board, President and Chief Executive Officer and Director, Xcel Energy Inc. | August 2011 - Present 
 | | Chief Executive Officer, NSP-Minnesota, NSP-Wisconsin, PSCo, and SPS | January 2015 - Present 
Brett C. Carter | 52 | Executive Vice President and Chief Customer and Innovation Officer, Xcel Energy Inc. | May 2018 - Present 
 | | Senior Vice President and Shared Services Executive, Bank of America | October 2015 - May 2018 
 | | Senior Vice President and Chief Operating Officer, Bank of America | March 2015 - October 2015 
 | | Senior Vice President and Chief Distribution Officer, Duke Energy Co. | February 2013 - March 2015 
Christopher B. Clark | 52 | President and Director, NSP-Minnesota | January 2015 - Present 
 | | Regional Vice President, Rates and Regulatory Affairs, NSP-Minnesota | October 2012 - December 2014 
David L. Eves | 60 | Executive Vice President and Group President, Utilities, Xcel Energy Inc. | March 2018 - Present 
 | | President and Director, PSCo | January 2015 - February 2018 
 | | President, Director and Chief Executive Officer, PSCo | December 2009 - December 2014 
Darla Figoli | 56 | Senior Vice President, Human Resources & Employee Services, Chief Human Resources Officer, Xcel Energy Inc. | May 2018 - Present 
 | | Senior Vice President, Human Resources and Employee Services, Xcel Energy Inc. | May 2015 - May 2018 
 | | Vice President, Human Resources, Xcel Energy Inc. | February 2010 - May 2015 
Robert C. Frenzel | 48 | Executive Vice President, Chief Financial Officer, Xcel Energy Inc. | May 2016 - Present 
 | | Senior Vice President and Chief Financial Officer, Luminant, a subsidiary of Energy Future Holdings Corp. (c) | February 2012 - April 2016 
David T. Hudson | 58 | President and Director, SPS | January 2015 - Present 
 | | President, Director and Chief Executive Officer, SPS | January 2014 - December 2014 
Alice Jackson | 40 | President and Director, PSCo | May 2018 - Present 
 | | Area Vice President, Strategic Revenue Initiatives, Xcel Energy Services Inc. | November 2016 - May 2018 
 | | Regional Vice President, Rates and Regulatory Affairs, PSCo | October 2011 - November 2016 
Kent T. Larson | 59 | Executive Vice President and Group President Operations, Xcel Energy Inc. | January 2015 - Present 
 | | Senior Vice President, Group President Operations, Xcel Energy Services Inc. | August 2014 - December 2014 
 | | Senior Vice President Operations, Xcel Energy Services Inc. | September 2011 - August 2014 
Timothy O’Connor | 59 | Senior Vice President, Chief Nuclear Officer, Xcel Energy Services Inc. | February 2013 - Present 
Judy M. Poferl | 59 | Senior Vice President, Corporate Secretary and Executive Services, Xcel Energy Inc. | January 2015 - Present 
 | | Vice President, Corporate Secretary, Xcel Energy Inc. | May 2013 - December 2014 
Jeffrey S. Savage | 47 | Senior Vice President, Controller, Xcel Energy Inc. | January 2015 - Present 
 | | Vice President, Controller, Xcel Energy Inc. | September 2011 - December 2014
Mark E. Stoering | 58 | President and Director, NSP-Wisconsin | January 2015 - Present 
 | | President, Director and Chief Executive Officer, NSP-Wisconsin | January 2012 - December 2014 
Scott M. Wilensky | 62 | Executive Vice President, General Counsel, Xcel Energy Inc. | January 2015 - Present 
 | | Senior Vice President, General Counsel, Xcel Energy Inc. | September 2011 - December 2014

 (a)    No family relationships exist between any of the executive officers or directors.
(b)    Ages as of Dec. 31, 2018.

(c) | In April 2014, Energy Future Holdings Corp., the majority of its subsidiaries, including TCEH the parent company of Luminant, filed a voluntary bankruptcy petition. TCEH emerged from Chapter 11 in October 2016.

18

